image,capture_time,gps_latitude,gps_longitude,title,caption,export_tags,export_galleries
20080826@171413,2008-08-26T17:14:13.60,45.4379794333333,12.3359191333333,"Sightseeing in Venice","Sightseeing in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares.","2008-08-26|2008-08|2008|San Marco|Venezia|Veneto|Italy|Europe|gondola|boat|canal|summer|afternoon","Timeline 2008"
20080826@172035,2008-08-26T17:20:35.00,,,"Sightseeing in Venice","Sightseeing in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares.",2008-08-26|2008-08|2008|gondola|canal|Venezia|Veneto|Italy|Europe|summer|afternoon|alley,"Timeline 2008"
20080826@173422,2008-08-26T17:34:22.80,,,"Sightseeing in Venice","Sightseeing in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares.",2008-08-26|2008-08|2008|bridge|Venezia|Veneto|Italy|Europe|summer|afternoon,"Timeline 2008"
20080827@061338,2008-08-27T06:13:38.60,45.4332063333333,12.3400121833333,"Sightseeing of San Giorgio Maggiore in Venice","Sightseeing of San Giorgio Maggiore in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares. San Giorgio Maggiore is a 16th-century Benedictine church on the island of the same name in Venice, northern Italy, designed by Andrea Palladio, and built between 1566 and 1610.","2008-08-27|2008-08|2008|San Marco|Venezia|Veneto|Italy|Europe|canal|gondola|church|dawn|summer|Adriatic|Mediterranean|sea|bell tower|gold light","Timeline 2008"
20080827@062239,2008-08-27T06:22:39.50,45.4332063333333,12.3400121833333,"Sightseeing of San Giorgio Maggiore in Venice","Sightseeing of San Giorgio Maggiore in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares. San Giorgio Maggiore is a 16th-century Benedictine church on the island of the same name in Venice, northern Italy, designed by Andrea Palladio, and built between 1566 and 1610.","2008-08-27|2008-08|2008|San Marco|Venezia|Veneto|Italy|Europe|seagull|bird|church|canal|dawn|summer|Adriatic|Mediterranean|sea|bell tower|gold light","Timeline 2008"
20080827@065024,2008-08-27T06:50:24.50,45.4332138666667,12.3398351666667,"Sightseeing of San Giorgio Maggiore in Venice","Sightseeing of San Giorgio Maggiore in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares. San Giorgio Maggiore is a 16th-century Benedictine church on the island of the same name in Venice, northern Italy, designed by Andrea Palladio, and built between 1566 and 1610.","2008-08-27|2008-08|2008|San Marco|Venezia|Veneto|Italy|Europe|dawn|church|Adriatic|Mediterranean|sea|gold light|summer|gondola|canal|bell tower","Timeline 2008"
20080827@073402,2008-08-27T07:34:02.20,,,"Sightseeing in Venice","Sightseeing in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares.",2008-08-27|2008-08|2008|canal|red|summer|morning|boat|reflection|Venezia|Veneto|Italy|Europe,"Timeline 2008"
20080827@073520,2008-08-27T07:35:20.00,,,"Sightseeing in Venice","Sightseeing in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares.",2008-08-27|2008-08|2008|alley|Venezia|Veneto|Italy|Europe|summer|morning|walking,"Timeline 2008"
20080827@214411,2008-08-27T21:44:11.30,45.4326454333333,12.3381829333333,"Sightseeing of San Giorgio Maggiore in Venice","Sightseeing of San Giorgio Maggiore in Venice. Venice, capital of northern Italy's Veneto region, is built on more than 100 small islands in a marshy lagoon in the Adriatic Sea. Its stone palaces seemingly rise out of the water. There are no cars or roadways, just canals and boats. The Grand Canal snakes through the city, which is filled with innumerable narrow, mazelike alleys and small squares. San Giorgio Maggiore is a 16th-century Benedictine church on the island of the same name in Venice, northern Italy, designed by Andrea Palladio, and built between 1566 and 1610.","2008-08-27|2008-08|2008|San Marco|Venezia|Veneto|Italy|Europe|night|church|canal|summer|Adriatic|Mediterranean|sea|bell tower","Timeline 2008"
20070203@013157,2007-02-03T01:31:57.70,43.7163412,13.2191062,"Portici Ercolani reflected in Misa river at night","Portici Ercolani reflected in Misa river at night. Portici Ercolani (Ercolani's Arcades) are sequence of 126 arches of Istria stone along the right bank of Misa river in Senigallia, Ancona, Italy. They owe their name to Monsignor Giuseppe Ercolani (1677-1759) who designed them in the mid-eighteenth century to house the many merchants who arrived in town in July, for the famous trade fair named after St. Mary Magdalene.","2007-02-03|2007-02|2007|Misa|Senigallia|Ancona|Marche|Italy|Europe|Portici Ercolani|Senigallia|Ancona|Marche|Italy|Europe|arcade|bridge|night|river|Senigallia|Ancona|Marche|Italy|Europe|winter|street lamp|reflection|Tenset","Portfolio|Senigallia City and Seaside|Timeline 2007"
