image,capture_time,gps_latitude,gps_longitude,title,caption,export_tags,export_galleries
20070203@013157,2007-02-03T01:31:57.000,43.7163412,13.2191062,"Portici Ercolani reflected in Misa river at night","Portici Ercolani reflected in Misa river at night. Portici Ercolani (Ercolani's Arcades) are sequence of 126 arches of Istria stone along the right bank of Misa river in Senigallia, Ancona, Italy. They owe their name to Monsignor Giuseppe Ercolani (1677-1759) who designed them in the mid-eighteenth century to house the many merchants who arrived in town in July, for the famous trade fair named after St. Mary Magdalene.","|Europe|Italy|Marche|Ancona|Senigallia|river|street lamp|night|bridge|winter|arcade|Europe|Italy|Marche|Ancona|Senigallia|Misa|Europe|Italy|Marche|Ancona|Senigallia|Portici Ercolani","||Portfolio|Senigallia City and Seaside"
20070203@015142,2007-02-03T01:51:42.000,43.7163412,13.2191062,"Corso II Giugno bridge at night","Corso II Giugno bridge reflected in Misa river at night.","|Europe|Italy|Marche|Ancona|Senigallia|river|street lamp|night|bridge|winter|Europe|Italy|Marche|Ancona|Senigallia|Misa","||Portfolio|Senigallia City and Seaside"
20070409@191842,2007-04-09T19:18:42.000,,,"Fig flowers","Blossoming fig flowers in an April afternoon.",|flower|spring|flower|fig,""
20070409@192135,2007-04-09T19:21:35.000,,,"Fig flowers","Blossoming fig flowers in an April afternoon.",|flower|spring|flower|fig,""
20071102@122530,2007-11-02T12:25:30.000,40.6283,14.48504445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary. View of the coastline south of Positano.","|cloud|beach|morning|fall|cliff|coast|sea|Mediterranean|Tyrrhenian|vantage point|Europe|Italy|Campania|Salerno|Positano",""
20071102@122710,2007-11-02T12:27:10.000,40.6283,14.48504445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.","|morning|fall|cliff|vantage point|Europe|Italy|Campania|Salerno|Positano",""
20071102@123257,2007-11-02T12:32:57.000,40.6283,14.48504445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.","|flower|cloud|morning|fall|sea|Mediterranean|Tyrrhenian|vantage point|Europe|Italy|Campania|Salerno|Positano",""
20071102@131402,2007-11-02T13:14:02.000,40.6283,14.48504445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary. Positano from below.","|cloud|morning|fall|outdoor|sky|cliff|vantage point|Europe|Italy|Campania|Salerno|Positano",""
20071102@133856,2007-11-02T13:38:56.000,40.6283,14.48504445,"Sightseeing in Positano","Sightseeing in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.","|cloud|morning|fall|cliff|tower|sea|Mediterranean|Tyrrhenian|vantage point|Europe|Italy|Campania|Salerno|Positano",""
20071102@175254,2007-11-02T17:52:54.000,40.6283,14.48504445,"Fishing at dawn in Positano","Fishing at dawn in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.",|afternoon|fall|cliff|tower|dusk|fishing|sea|Mediterranean|Tyrrhenian|Europe|Italy|Campania|Salerno|Positano,""
20071102@175733,2007-11-02T17:57:33.000,40.6283,14.48504445,"Fishing at dawn in Positano","Fishing at dawn in Positano. Positano is a cliffside village on southern Italy's Amalfi Coast. It's a well-known holiday destination with a pebble beachfront and steep, narrow streets lined with boutiques and cafes. Its Chiesa di Santa Maria Assunta features a majolica-tiled dome and a 13th-century Byzantine icon of the Virgin Mary.",|afternoon|fall|cliff|tower|dusk|fishing|sea|Mediterranean|Tyrrhenian|Europe|Italy|Campania|Salerno|Positano,""
20071103@120946,2007-11-03T12:09:46.000,40.6495833333333,14.6118583333333,"Sightseeing in Ravello","Sightseeing in Ravello. Ravello, a resort town set 365 meters above the Tyrrhenian Sea by Italy's Amalfi Coast, is home to iconic cliffside gardens. The 13th-century, Moorish-style Villa Rufolo offers far-reaching views from its terraced gardens, and hosts indoor and outdoor concerts during the popular summertime Ravello Festival. Villa Cimbrone, a medieval-style estate perched on a steep outcrop, is surrounded by another celebrated garden.","|morning|tree|fall|tree|pine|cliff|garden|church|sea|Mediterranean|Tyrrhenian|vantage point|Europe|Italy|Campania|Salerno|Ravello|Europe|Italy|Campania|Salerno|Ravello|Villa Rufolo",""
